title,image,weight,price,weight,price
  Barritas Redonda de Ternera para Perro,https://www.petsonic.com/3120-large_default/hobbit-alf-barritas-redonda-ternera-para-perros.jpg,400 Gr., 4.20 € ,900 Gr., 7.80 € 
  Barritas Redonda de Cordero para Perro,https://www.petsonic.com/3127-large_default/hobbit-alf-barritas-redonda-cordero-para-perros.jpg,400 Gr., 4.20 € ,900 Gr., 7.80 € 
  Barritas Redonda de Pollo para Perro,https://www.petsonic.com/3128-large_default/hobbit-alf-barritas-redonda-pollo-para-perros.jpg,400 Gr., 4.20 € ,900 Gr., 7.80 € 
  Mini Huesitos Tiernos Mix para Perros,https://www.petsonic.com/5858-large_default/hobbit-alf-mini-huesitos-tiernos-mix-para-perros.jpg,500 Gr., 3.60 € 
  Snack Toffy Salmón para Perro,https://www.petsonic.com/10933-large_default/nayeco-snack-toffy-salmon-para-perros.jpg,250 Gr., 3.10 € 
  Snack Toffy Pollo para Perro,https://www.petsonic.com/11042-large_default/nayeco-snack-toffy-pollo-para-perros.jpg,75 Gr., 2.75 € 
  Snack Toffy Cordero para Perro,https://www.petsonic.com/11044-large_default/nayeco-snack-toffy-cordero-para-perros.jpg,75 Gr., 2.75 € 
  Snack Toffy Surtido para Perro,https://www.petsonic.com/11167-large_default/nayeco-snack-toffy-surtido-para-perros.jpg,250 Gr., 2.75 € 
  Barritas 1kg Redonda Antisarro con Fluor Hobbit Alf,https://www.petsonic.com/3133-large_default/hobbit-alf-barritas-1kg-redonda-antisarro-fluor-para-perros.jpg
  Barrita de Cordero,https://www.petsonic.com/3194-large_default/nayeco-barrita-cordero-para-perros.jpg,500 Gr., 4.70 € 
  Delidog Barritas de Pollo,https://www.petsonic.com/8020-large_default/delidog-barritas-pollo-para-perros.jpg,800 Gr., 8.10 € 
  Delidog Barritas de Buey,https://www.petsonic.com/8018-large_default/delidog-barritas-buey-para-perros.jpg,800 Gr., 8.10 € 
  Delidog Barritas de Salmón,https://www.petsonic.com/8021-large_default/delidog-barritas-salmon-para-perros.jpg,800 Gr., 8.10 € 
  Delidog Barritas de Cordero,https://www.petsonic.com/8019-large_default/delidog-barritas-cordero-para-perros.jpg,800 Gr., 8.10 € 
  Delidog Barritas Grain Free,https://www.petsonic.com/8022-large_default/delidog-barritas-grain-free-para-perros.jpg,800 Gr., 8.10 € 
  Barritas de Pollo con Omega-3 para Perro,https://www.petsonic.com/11133-large_default/hobbit-alf-barritas-pollo-omega-3-para-perros.jpg,1 Kg., 15.80 € 
  Barritas de Cordero Omega-3 para Perro,https://www.petsonic.com/11132-large_default/hobbit-alf-barritas-cordero-omega-3-para-perros.jpg,1 Kg., 15.80 € 
  Barritas de Ternera con Omega-3 para Perro,https://www.petsonic.com/11134-large_default/hobbit-alf-barritas-ternera-omega-3-para-perros.jpg,1 Kg., 15.80 € 
  Bocaditos Tiernos de Salmón para Perro,https://www.petsonic.com/11081-large_default/hobbit-alf-bocaditos-tiernos-salmon-para-perros.jpg,1 Unidad., 1.25 € ,16 Unidades, 18.95 € 
  Estrellas Tiernas de Salmón y Queso para Perro,https://www.petsonic.com/11078-large_default/hobbit-alf-estrellas-tiernas-salmon-queso-para-perros.jpg,1 Unidad., 1.25 € ,16 Unidades, 18.95 € 
  Estrellita Tiernas de Salmón para Perro,https://www.petsonic.com/11079-large_default/hobbit-alf-estrellita-tiernas-salmon-para-perros.jpg,1 Unidad., 1.25 € ,16 Unidades, 18.95 € 
  Estrellas Tiernas de Avestruz para Perro,https://www.petsonic.com/11080-large_default/hobbit-alf-estrellas-tiernas-avestruz-para-perros.jpg,1 Unidad., 1.25 € ,16 Unidades, 18.95 € 
  Estrellas Tiernas de Ganso para Perro,https://www.petsonic.com/12040-large_default/hobbit-alf-estrellas-tiernas-ganso-para-perros.jpg,1 Unidad., 1.25 € ,16 Unidades, 13.90 € 
  Bocaditos Tiernos de Carne de Caza para Perros,https://www.petsonic.com/12041-large_default/hobbit-alf-bocaditos-tiernos-carne-caza-para-perros.jpg,1 Unidad., 1.25 € ,16 Unidades, 18.95 € 
  Fruit Mix para Perro,https://www.petsonic.com/12039-large_default/hobbit-alf-fruit-mix-para-perro.jpg,1 Unidad., 1.25 € ,16 Unidades, 18.95 € 
  Snack Huesitos Tiernos para Perros,https://www.petsonic.com/5862-large_default/hobbit-alf-snack-huesitos-tiernos-para-perros.jpg,Pollo, 1.80 € ,Cordero, 1.80 € 
  Palitos Tiernos de Ternera para Perro,https://www.petsonic.com/5863-large_default/hobbit-alf-palitos-tiernos-ternera-para-perros.jpg,13 Unidades., 2.95 € 
  Hueso Piel con Fluor para Perro,https://www.petsonic.com/5852-large_default/hobbit-alf-hueso-piel-fluor-para-perros.jpg,13 cm, 1.95 € ,25 cm, 5.75 € 
  Hueso Piel Sabor Barbacoa para Perro,https://www.petsonic.com/3143-large_default/hobbit-alf-hueso-piel-sabor-barbacoa-para-perros.jpg,13 cm, 1.95 € 
  Hueso de Piel Sabor Chocolate para Perro,https://www.petsonic.com/5850-large_default/hobbit-alf-hueso-piel-sabor-chocolate-para-perros.jpg,13 cm, 1.95 € 
  Nudillo de Ternera Calcio para Perro,https://www.petsonic.com/5854-large_default/hobbit-alf-nudillo-ternera-calcio-para-perros.jpg,2 Unidades, 0.60 € 
  Nudillo de Ternera Ahumado para Perro,https://www.petsonic.com/5853-large_default/hobbit-alf-nudillo-ternera-ahumado-para-perros.jpg,2 Unidades, 0.60 € 
  Cañailla de Jamón para Perro,https://www.petsonic.com/5857-large_default/hobbit-alf-canailla-jamon-para-perros.jpg,2 Unidades, 0.95 € 
  Mini Hueso Piel Fluor para Perros,https://www.petsonic.com/5860-large_default/hobbit-alf-mini-hueso-piel-fluor-para-perros.jpg,10 Unidades., 6.30 € 
  Hueso Calcio con Pollo para Perro,https://www.petsonic.com/11061-large_default/hobbit-alf-hueso-calcio-pollo-para-perros.jpg,100 Gr., 2.15 € 
  Filetes de pollo y Pato para Perro,https://www.petsonic.com/11054-large_default/hobbit-alf-filetes-pollo-pato-para-perros.jpg,100 Gr., 2.60 € 
  Huesitos Puppy con Pollo para Perro,https://www.petsonic.com/11055-large_default/hobbit-alf-huesitos-puppy-pollo-para-perros.jpg,100 Gr., 2.15 € 
  Muslitos de Pollo y Calcio para Perro,https://www.petsonic.com/11056-large_default/hobbit-alf-muslitos-pollo-calcio-para-perros.jpg,100 Gr., 2.15 € 
  Rosco Piel Fluor para Perro,https://www.petsonic.com/5847-large_default/hobbit-alf-rosco-piel-fluor-para-perros.jpg,1 Unidad., 2.10 € 
  Asta de Ciervo para Perro,https://www.petsonic.com/11247-large_default/natural-horn-asta-ciervo-para-perros.jpg,S, 4.35 € ,M, 6.15 € ,L, 10.95 € ,XL, 16.75 € ,XXL, 19.60 € 
